Gaia source ID,True distance [pc],True RA [deg],True Dec [deg],Stellar mass [M_\odot],G-band mag,True planet mass [M_J],True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg],\Delta \chi^2
5862916884898276864,159.83516,190.56426821559117,-63.57892702943159,0.80671,12.36681,9.80774,1191.88366,141.62102,0.02266,5.31829,311.19837,166.80028,9.74176,1197.98475,136.99495,0.18935,99.93633,130.60463,1087.94915,159.771,160.01332,160.2582,1173.74587,1202.36918,1232.36812,9.11888,9.81772,10.63154,0.09557,0.20242,0.32043,128.78147,135.7298,144.01041,437.31472
1317376390783150080,90.2387,244.45187149251936,27.793074938142666,0.57951,13.40266,3.70112,2540.75412,50.37552,0.08956,159.75443,229.20416,256.9301,4.52414,2339.01647,55.67734,0.15638,143.8511,28.42016,1219.75602,90.11595,90.20152,90.29361,3299.68996,4069.30945,4861.99859,8.40863,15.59963,24.41124,0.07038,0.208,0.41539,61.21578,70.6415,75.44023,275.38114
6718019348545856512,28.92358,287.787844701065,-38.717515401659746,0.48781,11.10633,8.17547,598.87008,45.21677,0.45543,314.12248,191.77804,39.08752,8.09257,599.8367,47.88338,0.47499,135.60898,7.10401,32.29103,28.92574,28.93723,28.94891,597.5506,599.9341,602.27832,7.80724,8.12882,8.48989,0.43123,0.48009,0.53265,45.27365,48.01423,50.59724,2325.67313
4855934177121615744,191.83521,58.027016309812296,-37.66337410231753,1.17365,9.70218,9.21594,1275.84281,15.99105,0.09068,270.68878,212.70306,94.70675,11.46996,1258.33298,36.74744,0.38972,310.74027,143.26373,1249.35234,191.28065,191.60717,191.92672,1217.13357,1272.66117,1347.23685,10.52663,12.25099,14.94224,0.26938,0.46272,0.67158,32.69348,43.70409,52.81641,179.89172
4909108694040252928,141.80959,21.036511441622068,-59.0523065359901,0.50342,14.42297,8.54974,760.99658,23.39623,0.07191,36.9258,25.45004,13.60671,8.51734,751.56904,5.38272,0.10073,96.65282,127.82106,359.94922,141.01937,141.42195,141.75275,738.14376,751.4443,765.41094,8.65142,9.47145,10.56153,0.04848,0.16803,0.38044,23.4859,33.30638,42.20544,224.3264
1554923678942430336,227.34502,195.30658736077865,47.36820707281273,0.94232,11.83152,10.90156,551.81984,95.27023,0.06128,99.96837,333.48096,40.97375,12.17185,571.47573,82.59201,0.64276,316.52013,157.79658,129.71471,226.15706,226.61241,227.09795,562.46563,573.12765,590.02903,10.6632,19.69213,96.62923,0.40447,0.92691,0.99753,76.04398,86.0959,90.90121,59.71813
291177823228929664,156.61536,26.784116984364204,24.377535103304556,1.24489,9.41734,12.7293,903.10293,38.75752,0.0324,337.48143,145.91243,77.66276,12.23154,890.31503,34.34899,0.15175,158.31168,165.73907,560.45656,156.27927,156.69014,157.10067,850.65375,889.34577,926.54335,12.0114,13.91869,17.66049,0.07588,0.27078,0.67954,32.29396,44.70594,56.45545,94.47411
2469253050105067648,197.60877,16.293497454055345,-12.344100475284586,0.87388,12.08233,7.49262,1117.6705,129.02872,0.1501,239.98675,193.0548,174.9755,9.90505,1227.16551,116.29215,0.36922,266.36163,20.28435,921.47124,198.26758,198.84,199.42594,1172.75959,1250.37603,1522.61947,9.06614,12.31835,37.21279,0.2205,0.69061,0.97767,97.6775,109.15253,121.42509,90.48107
6326001392624901120,123.02592,223.61144886675604,-9.834544128768865,0.62241,13.10531,3.86992,1205.31921,159.86468,0.15555,334.69719,113.58236,183.05768,4.45039,1258.62241,140.45907,0.3043,52.25915,116.06481,436.96099,123.03959,123.29368,123.5559,1209.32866,1267.02415,1337.95758,4.20422,5.13229,6.537,0.08454,0.29571,0.72871,117.9249,129.81718,143.45998,65.27721
1471600042087965696,213.76006,204.33739932682238,34.93922595743957,0.68064,13.8188,7.66542,729.13571,73.4461,0.15642,288.71357,228.35878,3.79661,10.5615,741.0052,78.26316,0.63401,158.88821,53.8293,73.42317,212.03353,212.59491,213.22615,701.29178,734.34845,755.76552,10.33597,24.23919,226.2138,0.47437,0.97895,0.99979,72.95137,84.62798,89.64773,61.03598
