pl_name,pl_orbsmax,pl_orbper,pl_orbincl,pl_orbeccen,pl_bmasse,pl_bmassj,st_mass,sy_dist,PlanetRadiuse,pl_orblper,StarTeff,st_logg,st_met,StarRad,sy_imag,sy_gaiamag,rastr,ra,decstr,dec,SpTNumber,MaxProjectedSeparation_au,PhaseAtMaxProj,ContrastAtMaxProj,MaxProjectedSeparation_au_inc90,MaxProjectedSeparation_au_inc10,ContrastAtMaxProj_inc90_alb07,ContrastAtMaxProj_inc90_alb01,ContrastAtMaxProj_inc10_alb07,ContrastAtMaxProj_inc10_alb01,PhaseAtMaxProj_inc90,PhaseAtMaxProj_inc10,ContrastAtMaxProj_alb07,ContrastAtMaxProj_alb01,MaxProjectedSeparation_mas,MaxProjectedSeparation_mas_inc90,MaxProjectedSeparation_mas_inc10,Note,cHZ_inner,cHZ_outer,oHZ_inner,oHZ_outer,HZ,EarthEqInstell
Proxima Cen b,0.04848,11.18465,,0.0,1.055,0.0033194,0.1221,1.30119,1.02,3.3,2900.0,5.16372,,0.141,,8.95361,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,6.55,0.04847998414486332,89.95366156825492,1.1540406410607776e-07,0.04847997885981661,0.04847999936254561,1.7955268850709266e-07,2.5650384072441813e-08,1.7933527852047235e-07,2.5619325502924628e-08,89.94649298597194,89.99070860583143,,,37.25818992219685,37.25818586049432,37.258201617400694,In Kane+2026 Venus Zone; In Conservative HZ,0.037004453632729806,0.07394227469106818,0.029215191583208688,0.07799863680523228,1,0.5367781689771135
Proxima Cen d,0.02881,5.12338,,0.0,0.26,0.00081805,0.1221,1.30119,0.692,4.0,2900.0,5.16372,,0.141,,8.95361,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,6.55,0.028809996616484927,89.97223165074202,1.5033174015399282e-07,0.02880999548864648,0.028809999863966054,2.3387690248923454e-07,3.3410986069890657e-08,2.3370712578487097e-07,3.3386732254981574e-08,89.96793587174349,89.99443212284164,,,22.141268082666578,22.141267215891972,22.141270578444388,In Kane+2026 Venus Zone,0.039254164923015776,0.07394227469106818,0.029215191583208688,0.07799863680523228,0,1.519964869404181
Barnard e,0.0381,6.7392,,0.04,0.193,0.00060725,0.162,1.82655,0.637,-27.5,3195.0,4.9,-0.56,0.185,11.1087,8.19511,17h57m47.67s,269.4486144,+04d44m16.73s,4.7379808,6.35,0.03944710456372221,90.95024671037258,6.611826126263571e-08,0.039445295803636496,0.039545508236110756,1.0242995409581453e-07,1.4632850585116362e-08,9.68423729765367e-08,1.3834624710933816e-08,91.09726715780423,92.82647741955444,,,21.596509574729524,21.59551931435575,21.650383639161674,In Kane+2026 Venus Zone,0.06231236092924792,0.11582109105770347,0.04638836368784225,0.12217255435269238,0,2.204280229397936
Barnard c,0.0274,4.1244,,0.08,0.335,0.00105403,0.162,1.82655,0.743,90.8,3195.0,4.9,-0.56,0.185,11.1087,8.19511,17h57m47.67s,269.4486144,+04d44m16.73s,4.7379808,6.35,0.02737198976979571,84.48663632059578,2.1964229173793346e-07,0.02734228520791813,0.02914256383029991,3.3811019312335914e-07,4.8301456160479885e-08,3.288264105580885e-07,4.697520150829836e-08,85.0611920922955,80.00188991435151,,,14.98562304333071,14.969360383191336,15.95497732353339,In Kane+2026 Venus Zone,0.06231236092924792,0.11582109105770347,0.04638836368784225,0.12217255435269238,0,4.262021449992458
Barnard b,0.0229,3.1542,,0.03,0.299,0.00094076,0.162,1.82655,0.72,3.8,3195.0,4.9,-0.56,0.185,11.1087,8.19511,17h57m47.67s,269.4486144,+04d44m16.73s,4.7379808,6.35,0.02358543748388928,89.94688737122421,2.429983475287465e-07,0.023585434106016448,0.023586201365407494,3.780825079402083e-07,5.401178684860119e-08,3.8118934223767505e-07,5.445562031966787e-08,89.93867081603003,89.6353022967215,,,12.91256055617929,12.91255870686072,12.912978766202675,In Kane+2026 Venus Zone,0.06231236092924792,0.11582109105770347,0.04638836368784225,0.12217255435269238,0,6.101628923545199
Barnard d,0.0188,2.3402,,0.04,0.263,0.00082749,0.162,1.82655,0.694,-51.8,3195.0,4.9,-0.56,0.185,11.1087,8.19511,17h57m47.67s,269.4486144,+04d44m16.73s,4.7379808,6.35,0.019258894464665423,92.0146334680263,3.192477798810785e-07,0.019255674308489,0.019421219673774866,5.022661673971186e-07,7.17523096281598e-08,4.391859960866256e-07,6.274085658380367e-08,91.64012162506486,95.3941402872577,,,10.543863822323738,10.542100850504502,10.632733663888132,In Kane+2026 Venus Zone,0.06231236092924792,0.11582109105770347,0.04638836368784225,0.12217255435269238,0,9.053177975883706
eps Eri b,3.53,2671.0,78.81,0.07,209.76674862,0.66,0.82,3.2026,14.1,-19.15,5020.38,4.5901,-0.13,0.759106,,3.47719,03h32m54.82s,53.2284306,-09d27m29.42s,-9.4581715,5.2,3.762516539169225,91.16861813784665,3.5387316874203687e-09,,,,,,,,,5.504693735987241e-09,7.863848194267487e-10,1174.8318675979594,,,In Imaging Mission Database,0.5479768923308646,1.0263873539189423,0.4481304421991342,1.08259777554034,0,0.026356737458476744
GJ 887 c,0.121,21.784,,0.17,6.5,0.02045129,0.495,3.28679,2.43,200.0,3688.0,4.156,-0.06,0.468,,6.52199,23h06m00.66s,346.5027573,-35d50m50.46s,-35.8473489,6.1,0.14019959853500116,93.52804958372941,7.053837954586349e-08,0.14012361104770035,0.14134928357330634,1.0978103828754468e-07,1.568300546964924e-08,1.0965721569326384e-07,1.566531652760912e-08,93.54683358955316,93.0201720201041,,,42.65547799981172,42.63235894222033,43.00526762382335,,0.1900484569187536,0.37883427469143927,0.15543354072416546,0.39959864072217977,0,2.4829871100777625
GJ 887 b,0.0683,9.2619,,0.14,3.9,0.01227077,0.495,3.28679,1.8,180.0,3688.0,4.156,-0.06,0.468,,6.52199,23h06m00.66s,346.5027573,-35d50m50.46s,-35.8473489,6.1,0.07786118491291136,89.76235835513023,1.400599531048059e-07,0.07786096167127549,0.07786182770800813,2.180898241856329e-07,3.115568916937613e-08,2.1674177803124155e-07,3.096311114732022e-08,89.72559480247278,89.9523502141732,,,23.68912675069334,23.689058829823473,23.689322319955988,,0.1900484569187536,0.37883427469143927,0.15543354072416546,0.39959864072217977,0,7.792984245855426
Gl 725 A b,0.068,11.2201,,0.0,2.78,0.00874686,0.33,3.5214,1.48,0.0,3433.0,4.87,-0.19,0.351,,7.84944,18h42m44.02s,280.6834312,+59d38m17.19s,59.638109,6.3,0.068,90.0,1.2333889992772712e-07,0.068,0.068,1.9186051099868662e-07,2.7408644428383806e-08,1.9186051099868662e-07,2.7408644428383806e-08,90.0,90.0,,,19.31050150508321,19.31050150508321,19.31050150508321,In Kane+2026 Venus Zone,0.12838200941766198,0.2501732763128981,0.1013562001653411,0.2638889035918508,0,3.3203316957806828
